message,severity,kind,name,file,line,timestamp
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] REST API routes registrovány,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] REST API routes registrovány,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:20.000Z
[CHARGING DEBUG] Registruji REST API routes,User,,,unknown,-1,2025-10-18T13:55:20.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:19.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:19.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:19.000Z
